simulation_id,event_type,event_time,event_step,fund_value_at_event,payoff,discount_factor,discounted_payoff
0,Lapse,1.3333333333333333,16,78752.76008062683,70877.48407256416,0.8988252314716089,63706.47102764775
1,Lapse,3.1666666666666665,38,152938.7138757777,137644.84248819994,0.7762091023287752,106841.17962795132
2,Survival,10.0,120,239832.49432381472,239832.49432381472,0.44932896411722156,107763.68623616909
3,Lapse,2.333333333333333,28,77491.34856510712,69742.21370859642,0.8297202637161938,57866.527950447766
4,Survival,10.0,120,491432.40497407323,491432.40497407323,0.44932896411722156,220814.81346063525
5,Death,1.5833333333333333,19,79345.24255823123,130000.0,0.8810272994231082,114533.54892500407
6,Survival,10.0,120,172761.52377714,172761.52377714,0.44932896411722156,77626.75651809506
7,Survival,10.0,120,209167.95553805577,209167.95553805577,0.44932896411722156,93985.22078843166
8,Survival,10.0,120,69425.8659286356,120000.0,0.44932896411722156,53919.47569406659
9,Survival,10.0,120,261813.81098049154,261813.81098049154,0.44932896411722156,117640.52847944631
10,Survival,10.0,120,130779.38168033409,130779.38168033409,0.44932896411722156,58762.96409831526
11,Survival,10.0,120,190089.98617880617,190089.98617880617,0.44932896411722156,85412.93657877993
12,Survival,10.0,120,315006.5696959117,315006.5696959117,0.44932896411722156,141541.57565158338
13,Disability,8.75,105,167039.6440637721,167039.6440637721,0.49658530379140947,82949.43239261718
14,Survival,10.0,120,367267.4308160456,367267.4308160456,0.44932896411722156,165023.89424256713
15,Survival,10.0,120,158788.35388148442,158788.35388148442,0.44932896411722156,71348.20656344619
16,Survival,10.0,120,156811.86148261264,156811.86148261264,0.44932896411722156,70460.11128127557
17,Survival,10.0,120,109129.07273690651,120000.0,0.44932896411722156,53919.47569406659
18,Survival,10.0,120,181983.57525258214,181983.57525258214,0.44932896411722156,81770.49135459117
19,Death,0.5,6,105801.61424517634,130000.0,0.9607894391523232,124902.62708980202
20,Lapse,6.583333333333333,79,213550.51675500357,192195.46507950322,0.5905702599079529,113504.9257651321
21,Survival,10.0,120,137271.80254592383,137271.80254592383,0.44932896411722156,61680.19684046373
22,Lapse,0.25,3,137286.35671085547,123557.72103976992,0.9801986733067553,121111.11423998864
23,Lapse,3.9166666666666665,47,119983.31946393248,107984.98751753924,0.7310062032185073,78937.69572979426
24,Survival,10.0,120,529450.7466251802,529450.7466251802,0.44932896411722156,237897.55553218178
25,Survival,10.0,120,230706.0107569068,230706.0107569068,0.44932896411722156,103662.89282901751
26,Survival,10.0,120,164037.96101819145,164037.96101819145,0.44932896411722156,73707.00710020514
27,Survival,10.0,120,481765.49318882957,481765.49318882957,0.44932896411722156,216471.19000195916
28,Survival,10.0,120,142243.05947817853,142243.05947817853,0.44932896411722156,63913.92656819429
29,Death,3.5,42,141969.97877658097,141969.97877658097,0.7557837414557255,107298.6017341543
30,Lapse,1.5,18,132908.99791687276,119618.09812518548,0.8869204367171575,106091.7358284653
31,Survival,10.0,120,152804.76456199345,152804.76456199345,0.44932896411722156,68659.60657281644
32,Lapse,6.083333333333333,73,93601.09213801345,84240.9829242121,0.6146718894297963,51780.56414144867
33,Survival,10.0,120,258399.8734559044,258399.8734559044,0.44932896411722156,116106.54746796266
34,Survival,10.0,120,89542.18186616265,120000.0,0.44932896411722156,53919.47569406659
35,Lapse,2.333333333333333,28,124051.18394491177,111646.0655504206,0.8297202637161938,92635.00295137044
36,Lapse,2.083333333333333,25,98834.88310669971,88951.39479602974,0.8464817248906141,75295.73009836925
37,Survival,10.0,120,893855.2709098663,893855.2709098663,0.44932896411722156,401635.0629486487
38,Lapse,7.166666666666666,86,103622.53146852287,93260.27832167059,0.5636434922238742,52565.54895899688
39,Survival,10.0,120,89165.46855014567,120000.0,0.44932896411722156,53919.47569406659
40,Survival,10.0,120,166315.07243443013,166315.07243443013,0.44932896411722156,74730.17921404316
41,Death,5.5,66,200709.74352604218,200709.74352604218,0.6440364210831414,129264.38489702741
42,Survival,10.0,120,208787.69972269065,208787.69972269065,0.44932896411722156,93814.3608368141
43,Lapse,8.083333333333332,97,147446.02323985397,132701.42091586857,0.5237888328297268,69507.52237636909
44,Survival,10.0,120,44708.92849362743,120000.0,0.44932896411722156,53919.47569406659
45,Death,2.75,33,121886.95530563782,130000.0,0.8025187979624785,104327.4437351222
46,Disability,3.6666666666666665,44,78723.57349368419,110000.0,0.7457735080913922,82035.08589005315
47,Survival,10.0,120,644634.501394559,644634.501394559,0.44932896411722156,289652.95274583885
48,Survival,10.0,120,115926.7285989255,120000.0,0.44932896411722156,53919.47569406659
49,Lapse,7.916666666666666,95,164920.2668055698,148428.24012501282,0.530819450562014,78788.59687104597
50,Disability,6.25,75,232055.59389816827,232055.59389816827,0.6065306597126334,140748.83245706296
51,Lapse,1.5,18,109916.09850550846,98924.48865495762,0.8869204367171575,87738.1506798765
52,Survival,10.0,120,497736.35172947025,497736.35172947025,0.44932896411722156,223647.3593260879
53,Survival,10.0,120,143216.5282896662,143216.5282896662,0.44932896411722156,64351.33430086047
54,Survival,10.0,120,262610.03706352325,262610.03706352325,0.44932896411722156,117998.29592053806
55,Survival,10.0,120,19789.03964437349,120000.0,0.44932896411722156,53919.47569406659
56,Lapse,9.166666666666666,110,278103.77537046483,250293.39783341836,0.4803053010897994,120217.24580716895
57,Lapse,2.75,33,169976.22476014373,152978.60228412936,0.8025187979624785,122768.20401903956
58,Lapse,2.833333333333333,34,55459.29322656968,49913.363903912716,0.7971864668291995,39790.258218120274
59,Lapse,6.916666666666666,83,89183.57691299134,80265.21922169221,0.5750298460641567,46154.89665335547
60,Survival,10.0,120,176095.51601383305,176095.51601383305,0.44932896411722156,79124.8157961832
61,Survival,10.0,120,54858.74845852944,120000.0,0.44932896411722156,53919.47569406659
62,Survival,10.0,120,218609.23295815533,218609.23295815533,0.44932896411722156,98227.4601915483
63,Survival,10.0,120,526076.3420262405,526076.3420262405,0.44932896411722156,236381.3378092278
64,Disability,8.583333333333332,103,82723.27865360393,110000.0,0.5032507789287233,55357.58568215956
65,Disability,9.666666666666666,116,369623.5495696024,369623.5495696024,0.4614722608559561,170571.01508548798
66,Lapse,3.833333333333333,46,144496.9561180142,130047.26050621278,0.7358958586482417,95701.24043507103
67,Death,0.5833333333333333,7,93069.02813102178,130000.0,0.9544054797336466,124072.71236537407
68,Survival,10.0,120,406651.04459179234,406651.04459179234,0.44932896411722156,182720.09262361613
69,Lapse,6.25,75,165222.32353207958,148700.09117887163,0.6065306597126334,90191.16440204975
70,Disability,2.833333333333333,34,80979.14092488523,110000.0,0.7971864668291995,87690.51135121194
