Simulation_ID,Event_Type,Event_Time,Event_Step
0,Lapse,1.3333333333333333,16
1,Lapse,3.1666666666666665,38
2,Survival,10.0,120
3,Lapse,2.333333333333333,28
4,Survival,10.0,120
5,Death,1.5833333333333333,19
6,Survival,10.0,120
7,Survival,10.0,120
8,Survival,10.0,120
9,Survival,10.0,120
10,Survival,10.0,120
11,Survival,10.0,120
12,Survival,10.0,120
13,Disability,8.75,105
14,Survival,10.0,120
15,Survival,10.0,120
16,Survival,10.0,120
17,Survival,10.0,120
18,Survival,10.0,120
19,Death,0.5,6
20,Lapse,6.583333333333333,79
21,Survival,10.0,120
22,Lapse,0.25,3
23,Lapse,3.9166666666666665,47
24,Survival,10.0,120
25,Survival,10.0,120
26,Survival,10.0,120
27,Survival,10.0,120
28,Survival,10.0,120
29,Death,3.5,42
30,Lapse,1.5,18
31,Survival,10.0,120
32,Lapse,6.083333333333333,73
33,Survival,10.0,120
34,Survival,10.0,120
35,Lapse,2.333333333333333,28
36,Lapse,2.083333333333333,25
37,Survival,10.0,120
38,Lapse,7.166666666666666,86
39,Survival,10.0,120
40,Survival,10.0,120
41,Death,5.5,66
42,Survival,10.0,120
43,Lapse,8.083333333333332,97
44,Survival,10.0,120
45,Death,2.75,33
46,Disability,3.6666666666666665,44
47,Survival,10.0,120
48,Survival,10.0,120
49,Lapse,7.916666666666666,95
50,Disability,6.25,75
51,Lapse,1.5,18
52,Survival,10.0,120
53,Survival,10.0,120
54,Survival,10.0,120
55,Survival,10.0,120
56,Lapse,9.166666666666666,110
57,Lapse,2.75,33
58,Lapse,2.833333333333333,34
59,Lapse,6.916666666666666,83
60,Survival,10.0,120
61,Survival,10.0,120
62,Survival,10.0,120
63,Survival,10.0,120
64,Disability,8.583333333333332,103
65,Disability,9.666666666666666,116
66,Lapse,3.833333333333333,46
67,Death,0.5833333333333333,7
68,Survival,10.0,120
69,Lapse,6.25,75
70,Disability,2.833333333333333,34
71,Survival,10.0,120
72,Survival,10.0,120
73,Death,7.083333333333333,85
74,Survival,10.0,120
75,Death,4.75,57
76,Survival,10.0,120
77,Lapse,8.416666666666666,101
78,Lapse,2.75,33
79,Lapse,0.6666666666666666,8
80,Lapse,2.6666666666666665,32
81,Survival,10.0,120
82,Survival,10.0,120
83,Death,1.0,12
84,Death,3.083333333333333,37
85,Lapse,4.5,54
86,Lapse,4.333333333333333,52
87,Lapse,2.333333333333333,28
88,Survival,10.0,120
89,Lapse,7.5,90
90,Survival,10.0,120
91,Survival,10.0,120
92,Survival,10.0,120
93,Survival,10.0,120
94,Survival,10.0,120
95,Survival,10.0,120
96,Survival,10.0,120
97,Lapse,5.5,66
98,Lapse,7.75,93
99,Lapse,10.0,120
100,Survival,10.0,120
101,Survival,10.0,120
102,Survival,10.0,120
103,Survival,10.0,120
104,Lapse,2.75,33
105,Death,7.166666666666666,86
106,Survival,10.0,120
107,Death,3.5,42
108,Survival,10.0,120
109,Disability,8.666666666666666,104
110,Lapse,0.75,9
111,Lapse,1.6666666666666665,20
112,Survival,10.0,120
113,Lapse,0.41666666666666663,5
114,Survival,10.0,120
115,Lapse,5.583333333333333,67
116,Survival,10.0,120
117,Survival,10.0,120
118,Survival,10.0,120
119,Survival,10.0,120
120,Lapse,4.666666666666666,56
121,Death,2.333333333333333,28
122,Survival,10.0,120
